Model,Timestamp,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,ECE,Trust_ECE,Trust_ECS,Trust_TPC,Trust_TrustScore,XAI_Faithfulness,XAI_Stability (ECS),XAI_Comprehensibility,XAI_Temporal Faithfulness,XAI_XAI Score,BestWeights
CNN,2026-04-08T10:08:52.285932,0.866015625,0.8437270726338958,0.8984375,0.8702232311766932,0.9470458984375,0.9474578608398342,0.4511907561020053,0.4511907561020053,0.4683516483516484,0.8129299413370541,0.6120592744969806,0.0,0.4683516483516484,0.0,0.0,0.1170879120879121,/kaggle/working/results/models/CNN_best.pt
ViT,2026-04-08T10:08:52.285956,0.8953125,0.8787425149700598,0.9171875,0.8975535168195719,0.9328890991210936,0.9050667790344478,0.45226246350594007,0.45226246350594007,0.4709521850698321,0.8400651188643536,0.6217897485299646,-0.03911143735820948,0.4709521850698321,0.0473457748839591,0.0,0.11979663064889542,/kaggle/working/results/models/ViT_best.pt
Hybrid,2026-04-08T10:08:52.285964,0.9339285714285714,0.9293286219081273,0.9392857142857143,0.9342806394316163,0.9779974489795917,0.9754159718887805,0.45375113681490936,0.45375113681490936,0.535596903096903,0.7803429018187289,0.6223256894914257,0.0,0.535596903096903,0.0,0.017274355352856218,0.13821781461243982,/kaggle/working/results/models/Hybrid_best.pt
